	Family	Genus	SampleName	Nuccore_ids
P03631.1	Microviridae	Phix174microvirus	PhiX174	1217068
AKO71195.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805174
AAF78038.1	Nanoviridae	Babuvirus	Banana bunchy top virus	8575530
AGI99515.1	Nanoviridae	Babuvirus	Banana bunchy top virus	478434534
AHF47856.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795183
ASV46570.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1236613818
AHF47912.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795295
AEL32436.1	Nanoviridae	Babuvirus	Banana bunchy top virus	342720519
AHF47864.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795199
AHF47904.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795279
AKO71288.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805579
AKO71173.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805085
AHF47902.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795275
AKO71234.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805329
ACV30230.1	Nanoviridae	Babuvirus	Banana bunchy top virus	256808097
AKO71238.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805340
ADO85414.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752883
AHF47828.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795127
ALI57228.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548744
CAL90982.1	Nanoviridae	Babuvirus	Banana bunchy top virus	158935060
AKO71190.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805155
AKO71254.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805418
ADO85404.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752863
AHF47809.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795088
AKO71222.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805286
AHF47831.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571795133
