	Family	Genus	Sample	Nuccore_id
P03631.1	Microviridae	Phix174microvirus	Phix174microvirus	1217068
BAD83665.1	Nanoviridae	Babuvirus	Banana bunchy top virus	57157356
AKO71368.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805983
AHF47657.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794618
AKO71327.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805807
AHF47790.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794884
ADO85409.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752873
ALI57194.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548676
AGG38934.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	458598884
AEV41139.1	Nanoviridae	Babuvirus	Banana bunchy top virus	359359243
AHF47741.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794786
ALA65733.1	Nanoviridae	Babuvirus	Banana bunchy top virus	922670532
ADO85419.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752893
ALI57198.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548684
AKO71298.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805682
CAL90978.1	Nanoviridae	Babuvirus	Banana bunchy top virus	158935052
AAK15065.1	Nanoviridae	Babuvirus	Banana bunchy top virus	13183126
AAD09275.1	Nanoviridae	Babuvirus	Banana bunchy top virus	4100388
BAC97824.1	Nanoviridae	Babuvirus	Banana bunchy top virus	37196806
AKO71421.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806232
AHF47653.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794610
AKO71406.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806163
ALI57172.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548632
AKO71321.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805781
AHF47645.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794594
AKO71332.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805828
ALI57173.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548634
AHF47701.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794706
ASU43926.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1233055077
AKO71308.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805728
AKO71420.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806227
AKO71304.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805709
AKO71352.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805920
AEL32443.1	Nanoviridae	Babuvirus	Banana bunchy top virus	342720545
BAO52840.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589907951
AOC83944.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1052467827
BAO52866.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589908003
ACT87569.1	Nanoviridae	Babuvirus	Banana bunchy top virus	254933847
AKO71419.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806223
AAL15844.1	Nanoviridae	Babuvirus	Banana bunchy top virus	16225254
AHF47781.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794866
AEL32453.1	Nanoviridae	Babuvirus	Banana bunchy top virus	342721565
AKO71427.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806258
AHF47682.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794668
AKO71413.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806194
ADR52992.1	Nanoviridae	Babuvirus	Banana bunchy top virus	313485024
BAO52816.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589907903
AKO71296.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805674
AKO71416.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806209
AKO71377.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806021
ACH99203.1	Nanoviridae	Babuvirus	Banana bunchy top virus	204304707
AHF47775.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794854
AAL89637.1	Nanoviridae	Babuvirus	Banana bunchy top virus	19525664
AAL89639.1	Nanoviridae	Babuvirus	Banana bunchy top virus	19525668
AKO71297.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805678
AOC83943.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1052467825
AAZ07720.2	Nanoviridae	Babuvirus	Banana bunchy top virus	119951963
ALA65732.1	Nanoviridae	Babuvirus	Banana bunchy top virus	922670530
ALI57169.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548626
AFH68181.1	Nanoviridae	Babuvirus	Banana bunchy top virus	384157440
ACD62522.1	Nanoviridae	Babuvirus	Banana bunchy top virus	188529646
AAL15847.1	Nanoviridae	Babuvirus	Banana bunchy top virus	16225263
ALI57176.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548640
ALI57182.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548652
ALI57175.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548638
ALI57168.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548624
AKO71340.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805863
ABB89053.1	Nanoviridae	Babuvirus	Banana bunchy top virus	82698043
AKO71305.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805714
AHF47663.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794630
ACD62524.1	Nanoviridae	Babuvirus	Banana bunchy top virus	188529650
AKO71402.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806142
ALI57170.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548628
BAO52810.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589907891
AAF21928.1	Nanoviridae	Babuvirus	Banana bunchy top virus	6650595
ASU43931.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1233055088
ASU43921.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1233055066
BAO52865.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589908001
AKO71394.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806107
AHF47650.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794604
ACD62523.1	Nanoviridae	Babuvirus	Banana bunchy top virus	188529648
AKO71397.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806120
AAK15064.1	Nanoviridae	Babuvirus	Banana bunchy top virus	13183124
ADZ99009.1	Nanoviridae	Babuvirus	Banana bunchy top virus	326632010
