query, subject,identity, alignment_length, mismatches, gap_opens, q_start, q_end, s_start, s_end, evalue, bit_score,positives
ACM51143.2;Second_top_feature;Babuvirus,AAK15067.1,100,23,0,0,1,23,56,78,7.13E-09,56.2,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71288.1,100,23,0,0,1,23,56,78,7.93E-09,56.2,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71162.1,100,23,0,0,1,23,56,78,9.59E-09,55.8,100
ACM51143.2;Second_top_feature;Babuvirus,AEF97830.1,100,23,0,0,1,23,56,78,9.59E-09,55.8,100
ACM51143.2;Second_top_feature;Babuvirus,ATY41386.1,100,23,0,0,1,23,52,74,5.66E-08,53.1,100
ACM51143.2;Second_top_feature;Babuvirus,ANW37847.1,100,23,0,0,1,23,21,43,6.47E-08,53.1,100
ACM51143.2;Second_top_feature;Babuvirus,APZ84295.1,100,23,0,0,1,23,22,44,6.80E-08,53.1,100
ACM51143.2;Second_top_feature;Babuvirus,AAP23061.1,100,23,0,0,1,23,48,70,6.81E-08,53.1,100
ACM51143.2;Second_top_feature;Babuvirus,AEX07802.1,100,23,0,0,1,23,48,70,7.35E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AVP27302.1,100,23,0,0,1,23,47,69,7.95E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71275.1,100,23,0,0,1,23,56,78,7.97E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ALN12275.1,100,23,0,0,1,23,54,76,8.11E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AAK15066.1,100,23,0,0,1,23,56,78,8.22E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AGI99515.1,100,23,0,0,1,23,61,83,8.26E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ABY61231.1,100,23,0,0,1,23,56,78,8.31E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AEL32439.1,100,23,0,0,1,23,56,78,8.40E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71180.1,100,23,0,0,1,23,56,78,8.49E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ACF24825.1,100,23,0,0,1,23,56,78,8.49E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AAD53060.1,100,23,0,0,1,23,56,78,8.58E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AAD53056.1,100,23,0,0,1,23,56,78,8.67E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71283.1,100,23,0,0,1,23,56,78,8.67E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71241.1,100,23,0,0,1,23,56,78,8.67E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AXF48029.1,100,23,0,0,1,23,56,78,8.76E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71252.1,100,23,0,0,1,23,56,78,8.76E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71184.1,100,23,0,0,1,23,56,78,8.76E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AEL32436.1,100,23,0,0,1,23,56,78,8.76E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,NP_604477.1,100,23,0,0,1,23,61,83,8.89E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AEF13039.1,100,23,0,0,1,23,61,83,8.89E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AEF13037.1,100,23,0,0,1,23,61,83,8.89E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ASV46570.1,100,23,0,0,1,23,56,78,8.95E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71279.1,100,23,0,0,1,23,56,78,8.95E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,BAG69618.1,100,23,0,0,1,23,56,78,8.95E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ACZ59091.1,100,23,0,0,1,23,61,83,8.99E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ALI57208.1,100,23,0,0,1,23,61,83,8.99E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71215.1,100,23,0,0,1,23,56,78,9.04E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71179.1,100,23,0,0,1,23,56,78,9.04E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71168.1,100,23,0,0,1,23,56,78,9.04E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ACV30231.1,100,23,0,0,1,23,56,78,9.04E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ADO85414.1,100,23,0,0,1,23,56,78,9.14E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,ASV46566.1,100,23,0,0,1,23,56,78,9.14E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AAF78038.1,100,23,0,0,1,23,56,78,9.14E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AAD53058.1,100,23,0,0,1,23,56,78,9.14E-08,53.5,100
ACM51143.2;Second_top_feature;Babuvirus,AKO71190.1,100,23,0,0,1,23,56,78,9.14E-08,53.5,100
