	Family	Genus	Sample	Nuccore_id	CP_accession	Nano_CP_Nuccore_ids
P03631.1	Microviridae	Phix174microvirus	Phix174microvirus	1217068	P03631.1	1217068
AGQ52061.1	Circoviridae	Circovirus	Porcine circovirus 2	523585945	AGQ52062.1	
ARA68511.1	Circoviridae	Circovirus	Pigeon circovirus	1163768323	ARA68512.1	
AIH07402.1	Circoviridae	Circovirus	Beak and feather disease virus	668727984	AIH07403.1	
ABE03770.1	Circoviridae	Circovirus	Beak and feather disease virus	90994633	ABE03771.1	
AHI85843.1	Circoviridae	Circovirus	Beak and feather disease virus	584292116	AHI85844.1	
AUC67684.1	Circoviridae	Circovirus	Porcine circovirus 2	1301526283	AUC67683.1	
AHB63242.1	Circoviridae	Circovirus	Beak and feather disease virus	563882198	AHB63243.1	
AJW76660.1	Circoviridae	Circovirus	Porcine circovirus 2	770594915	AJW76661.1	
AGS47835.1	Circoviridae	Circovirus	Farfantepenaeus duorarum circovirus	528890054	AGS47836.1	
AEP25629.1	Circoviridae	Circovirus	Porcine circovirus 2	347811917	AEP25630.1	
AEN19719.1	Circoviridae	Circovirus	Porcine circovirus 1	344915434	AEN19720.1	
APA34682.1	Circoviridae	Circovirus	Porcine circovirus 2	1096361367	APA34683.1	
ACN41959.1	Circoviridae	Circovirus	Porcine circovirus 2	224381716	ACN41960.1	
AGI65334.1	Circoviridae	Circovirus	Porcine circovirus 2	476464883	AGI65335.1	
ACV69947.1	Circoviridae	Circovirus	Muscovy duck circovirus	257815106	ACV69948.1	
AGC55152.1	Circoviridae	Circovirus	Beak and feather disease virus	442557923	AGC55153.1	
BAP81728.1	Circoviridae	Circovirus	Porcine circovirus 2	700587494	BAP81727.1	
AEC32991.1	Circoviridae	Circovirus	Porcine circovirus 2	330688617	AEC32993.1	
AGC55172.1	Circoviridae	Circovirus	Beak and feather disease virus	442557953	AGC55173.1	
ABP68647.1	Circoviridae	Circovirus	Porcine circovirus 2	145423962	ABP68648.1	
AEL89106.1	Circoviridae	Circovirus	Porcine circovirus 2	343131160	AEL89107.1	
ADG07992.1	Circoviridae	Circovirus	Porcine circovirus 2	295413520	ADG07993.1	
AEB54970.1	Circoviridae	Circovirus	Porcine circovirus 2	328905440	AEB54971.1	
BAP81691.1	Circoviridae	Circovirus	Porcine circovirus 2	700587440	BAP81692.1	
ADB96319.1	Circoviridae	Circovirus	Porcine circovirus 2	284811017	ADB96320.1	
ACN59896.1	Circoviridae	Circovirus	Porcine circovirus 2	224591346	ACN59897.1	
ABG48510.1	Circoviridae	Circovirus	Porcine circovirus 1	110005949	ABG48511.1	
AAG30567.1	Circoviridae	Circovirus	Beak and feather disease virus	11119224	AAG30569.1	
